Name,Bptf,Cbfa2t3h,Erg,Ets1,Ets2,Etv6,Fli1,Gata1,Gata2,Gata3,Gfi1b,Hhex,Hoxa5,Hoxa9,Hoxb4,Ikzf1,Ldb1,Lmo2,Lyl1,Meis1,Mitf,Myb,Nfe2,Nkx2,Notch,Pbx1,Prdm16,Runx1,Smarcc1,Tal1,Tcf7
ST-HSC_042,0.807072908,0.750562162,0.847325315,0,0,0.782460348,0.737396277,0,0,0,0,0,0,0.733524665,0,0.764463552,0.826028775,0.848866522,0.702400049,0.751465174,0,0.79780146,0.86024479,0.768083455,0.616469557,0,0,0.687317489,0.734055851,0.74334327,0
MPP_033,0.809910837,0,0.76012403,0.819303524,0,0.703942115,0.749499995,0,0,0,0,0.846427108,0.777205164,0.378717617,0,0.82123953,0.751315546,0.793167627,0.648560571,0.775680906,0,0.765308852,0,0.693552365,0,0.798394269,0,0,0.736521876,0.782374284,0
HSC34_288,0.83180223,0.811168336,0.726621483,0.7906132,0,0.861593006,0.765680673,0,0.667998046,0,0.812651732,0,0,0.765580029,0,0.866522753,0.859185553,0.824298871,0.866430072,0.873825175,0,0.811600051,0.812860134,0,0,0,0,0.619706864,0.87102717,0.785820687,0
ST-HSC_031,0.817473885,0.721851434,0.813296011,0.54001495,0.379814002,0,0.737735676,0.362827952,0.625926446,0,0,0.827520231,0.760824537,0.790392454,0,0.812933698,0.698646587,0.733954416,0.643670464,0.750721168,0,0.855257037,0.755979953,0,0,0,0,0.616873004,0.809885597,0.777185497,0.313708525
ST-HSC_104,0.882369149,0.824137663,0.849524954,0.8539025,0,0.870473533,0.801118072,0,0,0,0,0.78694031,0,0.857280578,0,0.751055029,0.847752043,0.89626728,0.894322709,0.797458929,0,0.692510595,0.909577618,0,0.71065273,0,0,0,0.696830241,0.807373131,0
GMP_097,0,0,0.779526595,0,0.828929211,0.837852172,0.806527017,0,0,0,0.70672945,0,0,0.745223925,0,0.777337503,0.709200832,0.701684375,0.721891081,0.632779311,0,0.858015061,0.860446202,0.71970145,0.490567014,0.73946811,0,0.666721489,0.904694355,0,0
MPP_200,0.837150521,0.618928655,0.761310003,0,0,0.703877291,0.782365455,0,0,0,0,0.789384972,0,0.698003178,0.844578793,0.701170845,0.769536891,0.833414409,0.635102362,0.733259142,0,0.674831951,0.735803933,0,0.751265784,0,0,0.800797783,0.76242913,0,0
MPP_204,0.832428643,0.713197429,0.758811294,0.470031397,0,0.641876229,0.808952218,0,0,0,0,0,0,0.659735529,0,0.726001143,0.729099865,0.814473038,0.6053749,0.706034002,0.729165397,0.827519107,0.706535409,0.739013911,0.641629345,0,0.785259824,0.7295873,0.762620722,0,0
LMPP_115,1,0.901847631,0.931728658,0.97639192,0,0.880071894,0.721560917,0,0,0,0.921463042,0,0,0.852481721,0,0.983866662,0.832378692,0.866862739,0.814565676,0.815683615,0,0.974718568,0.90304191,0.818934376,0.746236056,0.955357427,0.908634889,0.909841275,0.995193405,0.865701632,0
LMPP_052,0.835508501,0.765016254,0.891575268,0.905688586,0.777974625,0.694700863,0.811766142,0,0,0,0.80625323,0,0,0,0,0.965356149,0.747064405,0.862217383,0.829650691,0.83213394,0,0.852810562,0.765413336,0,0.801106086,0.774922714,0,0.577547194,0.925438326,0.773129641,0
HSC34_289,0.91923076,0.765840841,0.774512992,0,0,0.919681358,0.7824971,0,0,0,0,0,0,0.817984418,0,0.887086657,0.829300891,0.873554499,0.841617157,0.7795298,0,0.851372314,0.851406444,0,0,0.823340572,0.849202176,0.837700267,0.952895786,0.669117574,0
