Name,Cell_type,Bptf,Cbfa2t3h,Cdkn2a,Csf1r,Dnmt3a,Egfl7,Eif2b1,Erg,Ets1,Ets2,Etv6,Fli1,Gata1,Gata2,Gata3,Gfi1,Gfi1b,Hhex,Hoxa5,Hoxa9,Hoxb4,Ikzf1,Itga2b,Kit,Ldb1,Lmo2,Lyl1,Mecom,Meis1,Mitf,Mpl,Myb,Nfe2,Nkx2.3,Notch,Pbx1,Polr2a,Prdm16,Procr,Runx1,Sfpi1,Sh2b3,Smarcc1,Tal1,Tcf7,Tet2,Ubc,Vwf
CMP_011,CMP,18.82682301,18.61731529,40,40,16.8598839,40,18.59097693,19.17882885,40,40,16.86842933,14.70895071,19.20769256,40,40,40,17.62888435,40,40,40,40,18.50341785,17.32731633,18.31837938,40,16.40115658,17.56904604,40,15.23676567,40,16.2845294,17.7418912,17.32683393,40,40,17.74603581,19.33698254,40,40,21.46491656,40,22.65802354,17.55642714,17.40947147,40,19.33454271,15.52871139,17.45809965
CMP_012,CMP,19.49305786,18.36841806,40,40,40,40,19.558602,18.78579527,40,21.25508311,19.52300509,16.46433312,40,18.4355904,40,40,18.58033296,40,40,19.92888881,40,17.7973351,40,16.44174967,18.894263,17.56110219,40,40,16.53713026,40,18.87665106,17.30023064,17.44122954,40,40,20.26556394,40,40,40,23.72641592,17.74518092,40,19.2194002,20.22066914,40,20.33556345,17.34170039,40
CMP_013,CMP,15.99582786,17.95212833,40,40,17.80599068,19.43347509,17.4505127,40,20.994698,19.64027567,17.74490075,15.52270041,40,17.9401939,17.77720861,40,40,18.62542843,40,20.70878966,40,18.08075991,17.65106196,15.84241022,19.4273361,18.04990023,15.6042986,19.23773937,14.98045866,40,15.83111379,16.30455025,16.22705614,40,40,18.34411359,18.05944598,40,40,21.41117836,18.69506501,40,15.25955452,18.74502007,40,19.39135287,13.38115026,40
CMP_014,CMP,17.37003306,19.04215937,40,40,40,40,19.75357175,20.89813717,40,19.30452026,16.74467094,13.85199835,19.2313689,40,40,40,40,40,40,20.43453045,40,19.80535559,17.11555377,16.5305116,19.94744256,16.67479944,40,40,15.60210581,40,16.50345187,18.06954925,18.10927306,40,40,18.44537529,19.79527135,40,40,20.62457596,17.75815025,40,17.29856893,17.36692725,40,40,14.97998502,19.90258225
CMP_015,CMP,19.37949437,18.82602192,40,40,19.12529306,40,19.23142284,40,40,18.38174075,19.16907705,15.77057296,40,17.2529515,40,40,20.44913411,18.52242341,40,18.87168871,19.36827544,17.52810524,40,16.55272412,17.75873997,18.9657934,18.08318763,40,15.56330579,40,40,17.19284098,18.11391897,40,40,40,20.98915291,40,40,21.88675181,19.12944809,40,17.7292643,18.49000657,40,19.5087125,15.34825306,40
CMP_016,CMP,17.47508166,18.08457254,40,40,17.89318215,40,19.30212078,17.60777572,40,18.40151728,17.32247483,15.65947568,40,21.33410702,17.72446832,19.4001049,17.01655925,40,40,20.49353506,19.63619617,17.49658195,19.22799913,15.77647916,19.32221213,17.82619063,17.48089235,19.13352226,15.59340116,40,18.82589256,16.62790174,18.58423768,40,24.76497782,18.90566784,19.86368011,40,40,21.85218017,18.09991283,40,17.35865233,26.09340664,40,20.82035064,15.51366676,40
CMP_017,CMP,17.1989284,17.29426383,40,40,17.48292806,20.07721994,18.37912308,18.58473535,40,40,20.20545386,17.19839379,18.02147588,17.91873298,40,40,16.49388035,40,40,21.15416181,40,18.21538139,19.43841826,15.50404388,17.14164643,17.6532638,17.94597034,40,17.4884674,40,40,15.63664963,16.68508003,40,40,40,21.97223556,40,40,22.79694702,40,40,16.70268041,22.30042477,40,18.92725518,14.87117458,40
CMP_018,CMP,17.99310932,18.92299,40,40,40,40,19.63667225,40,40,40,40,18.73054291,17.89765215,18.48031919,40,40,18.0676048,40,40,20.347332,40,17.71968211,40,16.27822858,19.41756666,40,22.89300927,40,15.92268954,40,40,15.55639866,17.98396816,40,40,40,19.18490224,40,40,21.61947737,18.9835343,40,17.68118728,40,40,18.638735,14.31168438,40
CMP_019,CMP,18.93974699,17.41967033,40,40,19.05784061,19.84243722,18.55635711,18.9745423,40,18.51874515,18.16714725,17.92100655,18.99571831,18.86312255,40,40,17.90817391,17.04577675,40,40,40,17.55674308,18.80767073,15.9455347,19.50953442,19.18937396,18.91701125,40,16.56750102,40,40,16.70171076,17.28752102,40,40,18.72925259,19.70943527,40,40,22.76160704,18.58282017,40,17.96499881,18.38967889,40,21.17004604,15.09784432,40
CMP_020,CMP,16.61447302,18.10746207,40,40,40,25.07560424,18.04399969,17.47066243,40,19.74349216,19.36524476,18.51183994,40,19.73082215,16.69335102,40,40,40,40,20.56825781,40,18.40626805,40,17.07630163,19.50296029,16.79567928,16.85692093,40,15.89155521,40,17.44375836,16.14896258,17.24330659,19.13297179,26.6090562,40,19.08260594,40,40,22.88011982,17.31675294,40,18.65007418,18.97624595,40,19.87370451,15.32451424,40
